"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"RCJ-2121";1;"RCJ-2121";;;
2;"C1,C2,C8,C11";"C_Radial_D4.0mm_H5.0mm_P1.50mm";4;"10uF";;;
3;"C3,C4,C5,C6,C10";"C_Disc_D3.8mm_W2.6mm_P2.50mm";5;"0.1uF";;;
4;"C7,C9";"C_Radial_D5.0mm_H7.0mm_P2.00mm";2;"2.2uF";;;
5;"C12,C13";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"2.2nF";;;
6;"J2";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
7;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"10R";;;
8;"R2,R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";2;"470R";;;
9;"SW1";"SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile";1;"SW_DIP_x01";;;
10;"U1";"TSSOP-20_4.4x5mm_P0.5mm";1;"pcm5102a";;;
